,col1,col2,cor,p
12,Slope,theta,0.3826889199656924,0.2454
13,Slope,tan,0.3826889199656924,0.2454
29,w_d,theta,-0.15454545454545454,0.65
30,w_d,tan,-0.15454545454545454,0.65
45,Bank Shear Stress,theta,0.009090909090909092,0.9788
46,Bank Shear Stress,tan,0.009090909090909092,0.9788
60,Bed Shear Stress,theta,0.004555820475782052,0.9894
61,Bed Shear Stress,tan,0.004555820475782052,0.9894
74,k,theta,0.6378148666094873,0.0347
75,k,tan,0.6378148666094873,0.0347
87,Sinuosity,theta,0.09090909090909091,0.8028
88,Sinuosity,tan,0.09090909090909091,0.8028
99,Slope,theta,0.3826889199656924,0.2454
100,Slope,tan,0.3826889199656924,0.2454
110,w_d,theta,-0.15454545454545454,0.65
111,w_d,tan,-0.15454545454545454,0.65
120,tbank_tbed,theta,0.21818181818181823,0.5192
121,tbank_tbed,tan,0.21818181818181823,0.5192
129,peakedness,theta,0.006060606060606061,0.9867
130,peakedness,tan,0.006060606060606061,0.9867
137,DVIa,theta,-0.09090909090909091,0.8028
138,DVIa,tan,-0.09090909090909091,0.8028
144,DVIc,theta,0.4666666666666667,0.1739
145,DVIc,tan,0.4666666666666667,0.1739
150,DVIy,theta,0.5151515151515151,0.1276
151,DVIy,tan,0.5151515151515151,0.1276
156,theta,tan,1.0,0.0
157,theta,curvature,-0.20909090909090913,0.5372
158,theta,Rn,0.1272727272727273,0.7092
159,theta,Bed material -Lower (m),-0.033473096350228916,0.9319
160,theta,Bed material -Upper (m),0.11715583722580122,0.764
161,tan,curvature,-0.20909090909090913,0.5372
162,tan,Rn,0.1272727272727273,0.7092
163,tan,Bed material -Lower (m),-0.033473096350228916,0.9319
164,tan,Bed material -Upper (m),0.11715583722580122,0.764
