X,Y,Distance_X,Distance_Y,X_m,Y_m
-22.03,-218.87,0,0,0,0
0,-218.87,22.03,0,3.263703704,0
46.63,-219.97,68.66,1.1,10.17185185,0.162962963
67.95,-221.6,89.98,2.73,13.33037037,0.4044444444
95.84,-227.08,117.87,8.21,17.46222222,1.216296296
132.83,-237.13,154.86,18.26,22.94222222,2.705185185
167.27,-248.4,189.3,29.53,28.04444444,4.374814815
202.1,-253.34,224.13,34.47,33.20444444,5.106666667
243.47,-259.54,265.5,40.67,39.33333333,6.025185185
317.02,-265.97,339.05,47.1,50.22962963,6.977777778
383.5,-269.65,405.53,50.78,60.07851852,7.522962963
408.93,-269.99,430.96,51.12,63.84592593,7.573333333
