river,bar,channel_width_dem,channel_width_water,bar_width,mean_width,log_bar_width,log_mean_width,log_dem_width,log_water_width
Brazos River,3,167.0,167.0,60.0,167.0,1.7781512503836436,2.222646384712986,2.222646384712986,2.222646384712986
Koyukuk River,6,467.0,358.5,76.0,406.0,1.8808135922807914,2.6085260335771943,2.6693168805661123,2.5544785999392667
Mississippi River,3,1055.0,962.5,435.0,1009.25,2.638374470515622,3.0039584490377944,3.02306489094632,2.9833992731916803
Mississippi River - Leclair,0,914.5,914.5,195.0,914.5,2.289891798308405,2.9611805290871205,2.9611805290871205,2.9611805290871205
Nestucca River,5,82.5,82.5,36.5,82.5,1.5622521124171411,1.9163821524702658,1.9163821524702658,1.9163821524702658
Powder River,5,122.0,85.0,34.0,111.5,1.5314789170422551,2.0472748673841794,2.0863598306747484,1.9294189257142929
Red River,14,282.5,212.5,79.0,246.75,1.8976270912904414,2.392256938436457,2.4510177719218254,2.327357732183745
Rio Grande River,17,147.0,28.0,45.0,82.0,1.6532125137753437,1.9138138523837167,2.167317334748176,1.4471580313422192
Sacramento River,0,294.5,294.5,100.0,294.5,1.9998044794857084,2.469034593111693,2.469034593111693,2.469034593111693
Tombigbee River,5,330.0,258.0,90.5,316.25,1.9561110282662078,2.500030398485889,2.518482033439752,2.41161970596323
Trinity River,12,225.0,162.0,73.5,195.75,1.866277289925716,2.2916985830369816,2.3521782287407818,2.2094819153518115
White River,5,37.1856,25.908,10.3632,33.9852,1.015493879709818,1.5312898300517424,1.5703747933423111,1.4134338883818556
